gerade|прямой
günstig|дешевый
salzig|соленый
erleichtert|облегченный
offen|открытый
egal|равный/безразличный
wasserdicht|водонепроницаемый
wasserfest|водостойкий
besetzt|занятый
ausgezeichnet|отличный
schüchtern|застенчивый
unhöflich|невежливый
grauenhaft|ужасный
schlimm|плохой/ужасный
vorsichtig|осторожный/предусмотрительный
betroffen|затронутый
wahr|истинный
gesammelt|собранный
wach|бодрствующий
enttäuscht|расстроенный
unerwartet|неожиданный
typisch|типичный
tief|глубокий
entspannt|расслабленный
wütend|злой/яростный/свирепый
seltenen|редкий
schmal|узкий
breit|широкий
gesund|здоровый
interessant|интересный
dünn|тонкий
niedrig|низкий
restlisch|оставшийся
giftig|содержащий яд/злой
fettarme|обезжиренный
würzig|острый
ekelhaft|отвратительный
haltbar|прочный
hausgemacht|ручной работы
drinen|внутри
draußen|снаружи
dunkel|темный
brav|послушный
eng|тесный
wertvoll|ценный
sicher|безопасный
alt|старый
neu|новый
würdig|достойный
getrennt|разделенный
geduldig|терпеливый
einheimische|местные
blaß|бледный
wild|дикий
hoch|высокий
komisch|забавный
völkisch|народный
begeistert|восторженный взволнованный
begabt|одаренный способный
erfolgreiche|успешный
rechtzeitig|пунктуальный
ärgerlich|раздражающий
erfolgreiche|успешный
satt|сытый
bereit|готовый
selbstständig|самостоятельный
prima|первоклассный
ausreichend|достаточный
enttäuscht|разочарованный
schlimm|ужасный
ledig|одинокий
zufrieden|довольный
dran|твоя очередь
eigentlich|на самом деле
erstklassig|первоклассный
wertvoll|ценный
sauber|чистый
eigene|собственный
ständig|постоянный
fair|справедливый
fällig|должный
erfolgreich|успешный
abhängig|зависимый
roh|сырой
fällig|должный
mutig|смелый
bewaffnet|вооруженный
unglaublich|невероятный
verschieden|различный
obdachlos|бездомный
überzeugt|убежденный
empfindlich|чувствительный
verursacht|обусловленный
faul|ленивый
arbeitslos|безработный
ehrenamtlich|добровольный
riskant|рискованный
wütend|разъяренный
bereit|готовый
ledig|холостой
schuldig|виновный
folgend|дальнейший
anstrengend|утомительный
wertvolle|ценный
wahnsinnig|ненормальный
unentschieden|ничейный
peinlich|неловкий
schwanger|беременная
neugierig|любопытный
möbliert|меблированный
einsam|одинокий
peinlich|неловкий
schlank|стройный
zuverlässig|надежный
fleißig|прилежный
verursacht|обусловленный
arm|бедный
blaß|бледный
beunruhigend|тревожный
stumm|немой
durchschnittlich|в среднем
ausgebildet|обученный
gruselig|жуткий
haarlos|лысый
verdächtig|подозрительный
zugesagt|обещанный
gewöhnt|приученный
vorläufig|предварительно
enttäuscht|разочарованный
erfahren|опытный
begeistert|взволнованный
überglücklich|очень счастливый
anscheinend|вероятный
verlobt|обрученный
einheimische|местный
wütend|разгневанный
ohnmächtig|бессильный
erledigt|завершенный
männlich|мужской
weiblich|женский
giftige|ядовитый
heutig|сегодняшний
die Lage|состояние обстановка
schlau|ловкий хитрый
eigenen|собственный
tapfer|храбрый
feig|трусливый
verantwortlich|ответственный
fett|жирный
herzlich|задушевный сердечный
zielbewusst|целеустремленный
hart|жесткий трудный
schlecht|плохой
notwendig|необходимый
bestimmt|определенный
selbstbewusst|самоуверенный
eigensinnig|своенравный упрямый
verschieden|различный
marode|изнуренный
verwitwet|овдовевший
wirtschaftlich|экономический
spröde|ломкий
schädlich|вредный
regelmäßig|регулярно
geistig|духовный
